"[맥시칸치킨, 연도, 가맹점, 직영점, 합계, 2014, 451, 0, 451, 2013, 457, 0, 457, 2012, 459, 0, 459, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2014, 28, 34, 0, 20, 2013, 33, 35, 0, 24, 2012, 18, 48, 0, 23, 지역, 가맹점수, 평균매출액, 서울, 35, 67,996, 부산, 71, 78,928, 대구, , , 인천, 13, 70,530, 광주, 9, 82,242, 대전, , , 울산, 26, 88,786, 경기, 69, 70,695, 강원, 37, 44,456, 충북, , , 충남, , , 전북, 58, 88,816, 전남, 69, 134,160, 경북, , , 경남, 60, 69,514, 제주, 4, , 전체, 451, 78,006, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, , , 1,000, 24,000, ...]"
"[맘스터치, 연도, 가맹점, 직영점, 합계, 2013, 386, , 386, 2012, 297, , 297, 2011, 275, 0, 275, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 118, 29, , 20, 2012, 61, 39, , 24, 2011, 55, 49, 0, 39, 지역, 가맹점수, 평균매출액, 서울, 33, 191,914, 부산, 24, 226,044, 대구, 5, 170,217, 인천, 17, 213,211, 광주, 14, 210,069, 대전, 2, 119,189, 울산, 27, 195,658, 경기, 57, 221,341, 강원, 45, 184,461, 충북, 14, 111,593, 충남, 27, 271,324, 전북, 12, 128,385, 전남, 26, 196,285, 경북, 17, 174,803, 경남, 58, 302,503, 제주, 8, 65,232, 전체, 386, 212,891, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, , 1,000, 32,582, ...]"
"[지코바, 연도, 가맹점, 직영점, 합계, 2013, 361, 0, 361, 2012, 359, 0, 359, 2011, 366, 0, 366, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 8, 0, 6, 27, 2012, 5, 0, 12, 32, 2011, 2, , 13, 40, 지역, 가맹점수, 평균매출액, 서울, 3, , 부산, 69, 149,760, 대구, 24, 116,640, 인천, 1, , 광주, , , 대전, 38, 145,440, 울산, 39, 155,520, 경기, 20, 100,800, 강원, 2, , 충북, 18, 105,120, 충남, 19, 136,800, 전북, 2, , 전남, 4, , 경북, 53, 138,240, 경남, 69, 135,360, 제주, , , 전체, 361, 135,360, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 8,000, 1,000, 2,000, 32,000, ...]"
"[아딸, 연도, 가맹점, 직영점, 합계, 2013, 713, 0, 713, 2012, 749, 0, 749, 2011, 745, 0, 745, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 39, 9, 66, 80, 2012, 72, 5, 64, 57, 2011, 85, 4, 43, 101, 지역, 가맹점수, 평균매출액, 서울, 172, 83,190, 부산, 23, 67,790, 대구, 3, , 인천, 59, 83,870, 광주, 18, 80,640, 대전, 12, 75,270, 울산, 7, 69,940, 경기, 239, 86,530, 강원, 19, 72,040, 충북, 23, 88,290, 충남, 41, 64,520, 전북, 42, 69,330, 전남, 18, 73,010, 경북, 4, , 경남, 33, 69,110, 제주, , , 전체, 713, , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 7,700, 1,100, 2,000, 57,000, ...]"
"[죠스떡볶이, 연도, 가맹점, 직영점, 합계, 2013, 388, 3, 391, 2012, 254, 2, 256, 2011, 119, 0, 119, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 175, 6, 35, 2, 2012, 152, 0, 17, 3, 2011, 79, 0, 0, 3, 지역, 가맹점수, 평균매출액, 서울, , , 부산, , , 대구, , , 인천, , , 광주, , , 대전, , , 울산, , , 경기, , , 강원, , , 충북, , , 충남, , , 전북, , , 전남, , , 경북, , , 경남, , , 제주, , , 전체, , , 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, 2,200, 2,000, 77,555, ...]"
"[올떡, 연도, 가맹점, 직영점, 합계, 2013, 302, 3, 305, 2012, 375, 2, 377, 2011, 419, 0, 419, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 20, 0, 93, 20, 2012, 108, 0, 152, 2, 2011, 193, 0, 97, 0, 지역, 가맹점수, 평균매출액, 서울, 58, 74,885, 부산, 11, 60,516, 대구, 6, 103,298, 인천, 31, 78,687, 광주, 9, 90,101, 대전, 18, 88,794, 울산, 3, 94,115, 경기, 72, 75,075, 강원, 8, 94,522, 충북, 8, 82,366, 충남, 25, 75,832, 전북, 6, 57,632, 전남, 8, 55,477, 경북, 16, 95,171, 경남, 21, 62,609, 제주, 2, 45,121, 전체, 302, 76,799, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, 1,870, 2,000, 45,100, ...]"
"[동대문엽기떡볶이, 연도, 가맹점, 직영점, 합계, 2013, 171, 11, 182, 2012, 91, 0, 91, 2011, 64, 0, 64, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 81, 0, 1, 0, 2012, 30, 0, 0, 0, 2011, 37, 0, 0, 0, 지역, 가맹점수, 평균매출액, 서울, 85, 426,005, 부산, 2, , 대구, 1, , 인천, 12, 463,895, 광주, 2, , 대전, 5, , 울산, 2, , 경기, 45, 391,027, 강원, 1, , 충북, 5, , 충남, 5, , 전북, 3, , 전남, 1, , 경북, 2, , 경남, , , 제주, , , 전체, 171, 414,410, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 11,000, 3,300, 0, 42,240, ...]"
"[국대떡볶이, 연도, 가맹점, 직영점, 합계, 2013, 126, 6, 132, 2012, 113, 7, 120, 2011, 64, 3, 67, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 35, 22, 0, 14, 2012, 58, 9, 0, 6, 2011, 34, 0, 3, 0, 지역, 가맹점수, 평균매출액, 서울, 52, 196,825, 부산, 5, 131,524, 대구, 5, 188,896, 인천, 7, 204,617, 광주, , , 대전, 3, 255,563, 울산, , , 경기, 29, 197,062, 강원, 4, 189,876, 충북, 2, 220,867, 충남, 6, 179,508, 전북, , , 전남, 1, 73,141, 경북, 5, 191,209, 경남, 3, 179,167, 제주, , , 전체, 122, 184,021, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, , , , 51,750, ...]"
"[버무리떡볶이, 연도, 가맹점, 직영점, 합계, 2013, 89, 0, 89, 2012, 54, , 54, 2011, 37, 0, 37, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 42, 4, 3, 2, 2012, 26, 8, 1, , 2011, 17, 3, 2, 0, 지역, 가맹점수, 평균매출액, 서울, 20, 182,723, 부산, 3, , 대구, 1, , 인천, 16, 187,116, 광주, 1, , 대전, 4, , 울산, , , 경기, 27, 196,595, 강원, , , 충북, 1, , 충남, 8, 263,765, 전북, , , 전남, , , 경북, 2, , 경남, 4, , 제주, 2, , 전체, 89, 193,051, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, 1,650, 1,000, 34,120, ...]"
"[요런떡볶이, 연도, 가맹점, 직영점, 합계, 2013, 78, 1, 79, 2012, 98, 1, 99, 2011, 116, 1, 117, 연도, 신규개점, 계약종료 , 계약해지 , 명의변경 , 2013, 9, 29, 0, 7, 2012, 21, 39, 0, 2, 2011, 51, 39, 0, 11, 지역, 가맹점수, 평균매출액, 서울, 24, 65,081, 부산, , , 대구, 1, , 인천, 3, 66,840, 광주, , , 대전, 2, , 울산, , , 경기, 32, 65,036, 강원, 7, 53,481, 충북, 2, , 충남, 1, , 전북, 2, , 전남, 1, , 경북, 2, , 경남, 1, , 제주, , , 전체, 78, 64,010, 가입비(가맹비), 교육비, 보증금, 기타비용, 합계, 5,500, 2,200, 0, 29,700, ...]"
